wine number,acidity type 1,acidity type 2,citric acid,residual sugar,chlorides,sulfur dioxide type 1,sulfur dioxide type 2,pH,sulphates,alcohol,density,color,quality
1,5.8,0.13,0.22,12.7,0.058,24,183,3.32,0.42,11.7,0.9956,W,6
2,8.4,0.62,0.12,1.8,0.072,38,46,3.38,0.89,11.8,0.99504,R,6
3,6.6,0.26,0.38,6.5,0.17,68,201,3.19,0.38,9.4,0.9956,W,6
4,6.9,0.32,0.16,1.4,0.051,15,96,3.22,0.38,9.5,0.994,W,4
5,6.5,0.41,0.64,11.8,0.065,65,225,3.12,0.51,8.9,0.9978,W,5
6,7.3,0.65,0,1.2,0.065,15,21,3.39,0.47,10,0.9946,R,7
7,13,0.47,0.49,4.3,0.085,6,47,3.3,0.68,12.7,1.0021,R,6
8,7.9,0.44,0.26,4.45,0.033,23,100,3.17,0.52,12.7,0.99117,W,6
9,6.5,0.33,0.72,1.1,0.061,7,151,3.09,0.57,9.5,0.993,W,4
10,7.3,0.28,0.37,1.2,0.039,26,99,3.01,0.62,10.8,0.99198,W,5
11,7.8,0.26,0.74,7.5,0.044,59,160,3.22,0.64,10,0.996,W,6
12,7.2,0.49,0.24,2.2,0.07,5,36,3.33,0.48,9.4,0.996,R,5
13,6.8,0.25,0.31,13.3,0.05,69,202,3.22,0.48,9.7,0.9972,W,6
14,8.3,0.2,0.49,1.7,0.04,34,169,3.05,0.37,10.1,0.9938,W,5
15,9.2,0.15,0.68,1.6,0.046,22,130,3.02,0.45,10.4,0.9948,W,6
16,4.4,0.46,0.1,2.8,0.024,31,111,3.48,0.34,13.1,0.98816,W,6
17,6.5,0.33,0.38,2.5,0.047,30,148,3.17,0.43,12.7,0.98964,W,6
18,6.6,0.36,0.47,1.4,0.145,26,124,3.09,0.56,10.1,0.99274,W,6
19,8,0.2,0.3,8.1,0.037,42,130,3.1,0.67,11.8,0.99379,W,6
20,6.3,0.48,0.48,1.8,0.035,35,96,3.49,0.74,12.2,0.99121,W,6
21,9.1,0.27,0.45,10.6,0.035,28,124,3.2,0.46,10.4,0.997,W,9
22,7.7,0.26,0.26,2,0.052,19,77,3.15,0.79,10.9,0.9951,R,6
23,5.6,0.12,0.33,2.9,0.044,21,73,3.17,0.32,12.9,0.98896,W,8
24,6.6,0.24,0.38,8,0.042,56,187,3.21,0.46,9.2,0.99577,W,5
25,6.8,0.18,0.28,9.8,0.039,29,113,3.11,0.45,10.9,0.99406,W,7
26,6.6,0.22,0.37,1.6,0.04,31,101,3.15,0.66,12,0.99009,W,5
27,7.8,0.59,0.33,2,0.074,24,120,3.25,0.54,9.4,0.9968,R,5
28,9.9,1.005,0.46,1.4,0.046,34,185,3.02,0.49,10.2,0.9966,W,4
29,6.2,0.7,0.15,5.1,0.076,13,27,3.54,0.6,11.9,0.99622,R,6
30,6.1,0.44,0.28,4.25,0.032,43,132,3.26,0.47,11.26666667,0.9916,W,7
31,5.7,0.695,0.06,6.8,0.042,9,84,3.44,0.44,10.2,0.99432,W,5
32,7,0.13,0.37,12.85,0.042,36,105,3.05,0.55,10.7,0.99581,W,6
33,6.8,0.35,0.53,10.1,0.053,37,151,3.07,0.4,9.4,0.9963,W,5
34,5.8,0.315,0.27,1.55,0.026,15,70,3.37,0.4,11.9,0.98994,W,8
35,6,0.16,0.27,12,0.03,39,98,3.15,0.34,10.8,0.99402,W,5
36,6.2,0.16,0.33,1.1,0.057,21,82,3.32,0.46,10.9,0.991,W,7
37,6.8,0.28,0.43,7.6,0.03,30,110,3.08,0.59,12.5,0.99164,W,8
38,5.9,0.32,0.26,1.5,0.057,17,141,3.24,0.36,10.7,0.9917,W,5
39,7.3,0.21,0.33,1,0.037,66,144,3.11,0.52,10.2,0.9923,W,6
40,9.6,0.54,0.42,2.4,0.081,25,52,3.2,0.71,11.4,0.997,R,6
41,7.3,0.28,0.36,12.7,0.04,38,140,3.3,0.79,9.6,0.998,W,6
42,6.3,0.13,0.42,1.1,0.043,63,146,3.13,0.72,11.2,0.99066,W,7
43,6.8,0.36,0.32,1.6,0.039,10,124,3.3,0.67,9.6,0.9948,W,5
44,6.7,0.29,0.45,14.3,0.054,30,181,3.14,0.57,9.1,0.99869,W,5
45,6.8,0.25,0.27,10.7,0.076,47,154,3.05,0.38,9,0.9967,W,5
46,6.2,0.27,0.32,8.8,0.047,65,224,3.17,0.47,8.9,0.9961,W,5
47,8,0.43,0.36,2.3,0.075,10,48,3.34,0.46,9.4,0.9976,R,5
48,6.2,0.235,0.34,1.9,0.036,4,117,3.4,0.44,12.2,0.99032,W,5
49,10.2,0.41,0.43,2.2,0.11,11,37,3.16,0.67,10.8,0.99728,R,5
50,6.4,0.18,0.32,9.6,0.052,24,90,3.35,0.49,9.4,0.9963,W,6
51,5.9,0.13,0.28,1.9,0.05,20,78,3.43,0.64,10.8,0.9918,W,6
52,5.7,0.32,0.38,4.75,0.033,23,94,3.42,0.42,11.8,0.991,W,7
53,6.8,0.44,0.2,16,0.065,61,186,3.13,0.45,8.6,0.99884,W,5
54,10.6,0.44,0.68,4.1,0.114,6,24,3.06,0.66,13.4,0.997,R,6
55,7.2,0.35,0.34,12.4,0.051,6,37,3.13,0.39,11.5,0.9944,W,6
56,6.1,0.27,0.25,1.8,0.041,9,109,3.08,0.54,9,0.9929,W,5
57,9,0.22,0.49,10.4,0.048,52,195,3.31,0.44,10.2,0.9987,W,6
58,7.9,0.16,0.64,17,0.05,69,210,3.15,0.51,9.3,1.0004,W,7
59,8.5,0.28,0.34,13.8,0.041,32,161,3.13,0.4,9.9,0.9981,W,6
60,8.3,0.27,0.34,10.2,0.048,50,118,3.18,0.51,10.3,0.99716,W,5
61,7.5,0.32,0.37,1.2,0.048,22,184,3.09,0.43,9.3,0.9938,W,5
62,9.4,0.3,0.56,2.8,0.08,6,17,3.15,0.92,11.7,0.9964,R,8
63,7.5,0.305,0.4,18.9,0.059,44,170,2.99,0.46,9,1,W,5
64,5.8,0.32,0.23,1.5,0.033,39,121,2.96,0.35,12,0.9887,W,5
65,7.4,0.28,0.5,12.1,0.049,48,122,3.01,0.44,9,0.9973,W,5
66,9.9,0.27,0.49,5,0.082,9,17,3.19,0.52,12.5,0.99484,R,7
67,5.7,0.21,0.25,1.1,0.035,26,81,3.31,0.52,11.4,0.9902,W,6
68,7.2,0.19,0.27,11.2,0.061,46,149,2.99,0.59,9.3,0.99772,W,6
69,6,0.45,0.65,9.7,0.08,11,159,3.04,0.48,9.4,0.9956,W,5
70,8.2,0.23,0.4,7.5,0.049,12,76,3.06,0.84,9.7,0.9966,W,6
71,6,0.17,0.49,1,0.034,26,106,3.21,0.42,9.8,0.992,W,6
72,8.8,0.59,0.18,2.9,0.089,12,74,3.14,0.54,9.4,0.99738,R,5
73,6.9,0.28,0.3,1.6,0.047,46,132,3.35,0.38,11.1,0.9918,W,7
74,6.6,0.35,0.26,2.7,0.045,19,129,3.24,0.48,13,0.98952,W,7
75,6.5,0.36,0.32,1.1,0.031,13,66,3.1,0.46,10.6,0.9916,W,5
76,6.4,0.22,0.34,1.8,0.057,29,104,3.81,0.57,10.3,0.9959,W,6
77,7.7,0.3,0.26,18.95,0.053,36,174,3.2,0.5,10.4,0.99976,W,5
78,9.5,0.46,0.49,6.3,0.064,5,17,3.21,0.73,11,0.9988,R,6
79,6.4,0.23,0.39,1.8,0.032,23,118,3.32,0.5,11.8,0.9912,W,6
80,7.3,0.26,0.49,5,0.028,32,107,3.24,0.54,10.8,0.9936,W,6
81,6.6,0.26,0.29,1.4,0.039,13,67,3.05,0.49,10.9,0.9915,W,6
82,7.3,0.69,0.32,2.2,0.069,35,104,3.33,0.51,9.5,0.99632,R,5
83,6,0.2,0.26,6.8,0.049,22,93,3.15,0.42,11,0.9928,W,6
84,5.5,0.14,0.27,4.6,0.029,22,104,3.34,0.44,9,0.9949,W,5
85,5.9,0.37,0.14,6.3,0.036,34,185,3.17,0.63,9.8,0.9944,W,5
86,6.6,0.24,0.28,1.8,0.028,39,132,3.34,0.46,11.4,0.99182,W,5
87,6.5,0.5,0.22,4.1,0.036,35,131,3.26,0.55,13,0.9902,W,7
88,7.2,0.17,0.34,6.4,0.042,16,111,2.99,0.4,10.8,0.99278,W,6
89,6.4,0.18,0.74,11.9,0.046,54,168,3.58,0.68,10.1,0.9978,W,5
90,7,0.44,0.24,12.1,0.056,68,210,3.05,0.5,9.5,0.99718,W,5
91,6.4,0.3,0.36,2,0.052,18,141,3.38,0.53,10.5,0.99273,W,6
92,8.7,0.24,0.35,0.6,0.042,11,71,3.08,0.38,10.6,0.9926,W,5
93,6.7,0.24,0.41,8.7,0.036,29,148,3.22,0.62,9.9,0.9952,W,6
94,7,0.31,0.26,7.4,0.069,28,160,3.13,0.46,9.8,0.9954,W,6
95,5.9,0.395,0.13,2.4,0.056,14,28,3.62,0.67,12.4,0.99362,R,6
96,5.5,0.34,0.26,2.2,0.021,31,119,3.55,0.49,13,0.98919,W,8
97,7,0.14,0.32,9,0.039,54,141,3.22,0.43,9.4,0.9956,W,6
98,8.4,0.18,0.42,5.1,0.036,7,77,3.16,0.52,11.7,0.9939,W,5
99,6.8,0.21,0.49,14.5,0.06,50,170,3.55,0.44,9.8,0.9991,W,6
100,8,0.81,0.25,3.4,0.076,34,85,3.19,0.42,9.2,0.99668,R,5
101,6.6,0.56,0.14,2.4,0.064,13,29,3.42,0.62,11.7,0.99397,R,7
102,8.3,0.21,0.4,1.6,0.032,35,110,3.02,0.6,12.9,0.9907,W,7
103,8,0.45,0.28,10.8,0.051,25,157,3.06,0.47,11.4,0.9957,W,7
104,8.4,0.23,0.32,1.3,0.048,59,113,3.1,0.55,11,0.99178,W,6
105,6.4,0.16,0.42,1,0.036,29,113,3.18,0.52,11,0.9908,W,6
106,7.9,0.16,0.3,7.4,0.05,58,152,3.12,0.37,9.5,0.99612,W,6
107,6.3,0.23,0.33,1.5,0.036,15,105,3.32,0.42,11.2,0.991,W,6
108,6.5,0.3,0.39,7.8,0.038,61,219,3.19,0.5,9.4,0.9959,W,5
109,6.1,0.32,0.37,1.8,0.051,13,200,3.49,0.44,10.5,0.9945,W,4
110,8,0.19,0.3,2,0.053,48,140,3.18,0.49,9.6,0.994,W,6
111,7.1,0.44,0.37,2.7,0.041,35,128,3.07,0.43,13.5,0.9896,W,7
112,9.1,0.3,0.41,2,0.068,10,24,3.27,0.85,11.7,0.99523,R,7
113,7.3,0.28,0.36,12.7,0.04,38,140,3.3,0.79,9.6,0.998,W,6
114,7.4,0.18,0.31,1.4,0.058,38,167,3.16,0.53,10,0.9931,W,7
115,6.9,0.765,0.02,2.3,0.063,35,63,3.57,0.78,9.9,0.9975,R,5
116,7.4,0.965,0,2.2,0.088,16,32,3.58,0.67,10.2,0.99756,R,5
117,7.6,0.35,0.46,14.7,0.047,33,151,3.03,0.53,10.3,0.99709,W,5
118,8.6,0.485,0.29,4.1,0.026,19,101,3.01,0.38,12.4,0.9918,W,5
119,6.6,0.2,0.38,7.9,0.052,30,145,3.32,0.56,11,0.9947,W,7
120,6.6,0.25,0.31,12.4,0.059,52,181,3.51,0.47,9.8,0.9984,W,6
121,8,0.29,0.49,11.7,0.035,40,131,3.14,0.34,10.8,0.9958,W,5
122,6.8,0.23,0.31,2.8,0.047,40,122,3.06,0.64,10.9,0.99126,W,7
123,7.3,0.735,0,2.2,0.08,18,28,3.41,0.6,9.4,0.99765,R,5
124,6.7,0.46,0.24,1.7,0.077,18,34,3.39,0.6,10.6,0.9948,R,6
125,6.8,0.18,0.28,8.7,0.047,52,242,3.22,0.53,10.5,0.9952,W,6
126,6.6,0.26,0.46,6.9,0.047,59,183,3.2,0.45,9.3,0.99594,W,5
127,7.1,0.31,0.25,11.2,0.048,32,136,3.14,0.4,9.5,0.99663,W,5
128,6.1,0.24,0.27,11.5,0.05,51,133,3.22,0.37,10.8,0.99476,W,6
129,6,0.28,0.24,17.8,0.047,42,111,3.1,0.45,8.9,0.99896,W,6
130,7.8,0.21,0.39,1.8,0.034,62,180,3.09,0.75,12.6,0.991,W,8
131,7.7,0.58,0.1,1.8,0.102,28,109,3.08,0.49,9.8,0.99565,R,6
132,7.7,0.62,0.04,3.8,0.084,25,45,3.34,0.53,9.5,0.9978,R,5
133,6,0.34,0.29,6.1,0.046,29,134,3.48,0.57,10.7,0.99462,W,6
134,6.3,0.23,0.3,1.8,0.033,16,91,3.28,0.4,11.8,0.9906,W,6
135,7.8,0.41,0.68,1.7,0.467,18,69,3.08,1.31,9.3,0.9973,R,5
136,7.1,0.17,0.4,14.55,0.047,47,156,3.34,0.78,9.1,0.99945,W,6
137,6.7,0.28,0.14,1.4,0.043,64,159,3.17,0.39,10,0.992,W,5
